"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"2","","0","ClearConnect API Functionality","0","0","","0"
"4","","0","Report Manager Functionality","0","0","","0"
"4","","0","Client Manager Functionality","0","0","","0"
"7","","0","Temp Manager Functionality","0","0","","0"
"2","","0","Login","0","0","","0"
"1","","0","Order Manager Functionality","0","0","","0"
